mean_value cp
96.6300000 141.4213562
91.1100000 141.4213562
91.2600000 141.4213562
92.3100000 512.6524164
91.9000000 0.7071067812
83.0000000 0.7071067812
94.2000000 141.4213562
94.1000000 141.4213562
90.6000000 512.6524164
95.6000000 512.6524164
94.5200000 0.7071067812
96.4200000 141.4213562
92.5200000 512.6524164
93.5400000 100
92.8100000 1500
95.2200000 3000
92.9200000 6000
94.4400000 10000
91.8600000 0.7071067812
95.2200000 141.4213562
93.6600000 512.6524164
91.3800000 0.7071067812
90.4400000 141.4213562
91.7800000 512.6524164
63.9800000 0.7071067812
64.0800000 0.7071067812
62.9700000 0.7071067812
62.6300000 0.7071067812
45.1600000 0.7071067812
92.1800000 0.7071067812
91.5300000 0.7071067812
94.2200000 0.7071067812
95.2600000 0.7071067812
82.1500000 0.7071067812
64.1700000 0.7071067812
93.3700000 512.6524164
91.6400000 100
94.1000000 3000
92.7100000 6000
90.3700000 10000
62.8200000 0.7071067812
91.5500000 0.7071067812
60.6600000 0.7071067812
93.7700000 0.7071067812
43.7600000 0.7071067812
82.4700000 0.7071067812
64.5300000 0.7071067812
90.9500000 0.7071067812
62.8900000 0.7071067812
89.6500000 0.7071067812
63.1900000 0.7071067812
91.7300000 0.7071067812
62.1500000 0.7071067812
91.2700000 141.4213562
91.0500000 512.6524164
92.0400000 0.7071067812
89.7600000 141.4213562
90.9400000 512.6524164
91.6600000 141.4213562
90.6000000 512.6524164
91.2500000 3000
92.5400000 10000
64.1100000 0.7071067812
90.8300000 100
90.2000000 1500
91.6500000 6000
63.9900000 0.7071067812
93.1200000 141.4213562
91.0600000 512.6524164
93.0500000 100
90.1600000 1500
92.1600000 3000
91.3700000 6000
92.9800000 10000
94.4000000 0.7071067812
94.0100000 0.7071067812
65.3000000 0.7071067812
15.0900000 0
64.0900000 0.7071067812
62.0500000 0.7071067812
92.2900000 141.4213562
89.5900000 5
92.6400000 10
93.9900000 25
92.7000000 50
89.3200000 0.7071067812
90.1200000 0.7071067812
91.2300000 0.7071067812
89.5400000 0.7071067812
776.7700000 141.4213562
778.5800000 0.7071067812
771.3500000 0.7071067812
788.1100000 0
91.2800000 0.7071067812
92.7900000 0.7071067812
86.1400000 0.7071067812
90.7600000 0.7071067812
91.5000000 0.7071067812
87.1900000 0.7071067812
64.0800000 0.7071067812
63.5600000 0.7071067812
63.3700000 0.7071067812
64.3000000 0.7071067812
