learn_rate $avg_err$
0.0453537 0.0588768
0.0406052 0.0650361
0.035769 0.0870876
0.0887342 0.047023
0.0632975 0.0470974
0.0932324 0.0758927
0.279166 0.0334959
0.241568 0.0414496
0.259255 0.0520146
0.409086 0.0290123
0.448307 0.0291195
0.396701 0.0323426
0.3898 0.0324552
0.461674 0.0347758
0.369377 0.0370075
0.2341 0.0396776
0.319646 0.0406819
0.2048 0.0421045
0.45467 0.044505
0.482663 0.0453135
0.3522 0.0489481
0.401111 0.051503 
0.4087 0.05503
0.374411 0.0586517
0.376905 0.0625923
0.436152 0.0651952
0.0600324 0.0904318
0.708609 0.0280026
0.537111 0.0295146
0.4735 0.0299213
0.4043 0.0372536
0.2265 0.0410025
0.686309 0.0507493
0.404411 0.0576211
0.261279 0.0600071
0.082723 0.0607862
0.8577 0.0204326
0.608565 0.022178
0.505626 0.0229607
0.887205 0.0235986
0.410356 0.0239892
0.526475 0.0239938
0.83438 0.0251719
0.7288 0.0253003
0.765257 0.0253756
0.6732 0.0254616
0.6817 0.0262743
0.3899 0.0274457
0.631859 0.0278307
0.2634 0.0283091
0.626957 0.0285854
0.851594 0.0299317
0.9308 0.030298 
0.7477 0.0312468
0.3444 0.0319825
0.975585 0.0342331
0.753636 0.0342912
0.995203 0.038896
0.5553 0.0419201
0.923687 0.0434335
0.972265 0.0451165
0.834934 0.046791
0.274489 0.0485303
0.0836 0.049333
0.512593 0.0495697
0.539047 0.050738
0.828166 0.0511756
0.621257 0.0523843
0.397252 0.0583451
0.545696 0.0614445
0.536276 0.0629222
0.306312 0.0692252
1.18185 0.02777968
1.27444 0.0292698
1.33656 0.0377667
1.50647 0.0234559
1.56492 0.0275341
1.15243 0.0422435
2.08252 0.023366
1.93098 0.0280096
3.7907 0.0363702
