learn_rate $avg_err$
0.312488 0.0295806
0.34142 0.0370195
0.3456 0.032653
0.284357 0.0436723
0.2314 0.0365014
0.268 0.0383393
0.306165 0.0405474
0.168776 0.0339628
0.1604 0.0345458
0.296206 0.0379483
0.2133 0.0335013
0.356 0.0312888
0.133699 0.0420098
0.1816 0.0349465
0.1429 0.0385744
0.613176 0.0299294
0.559742 0.0333277
0.524303 0.0334499
1.04039 0.0335041
0.939254 0.0352683
1.11035 0.0314704
2.13006 0.0324626
0.682256 0.0366863
1.7238 0.0325289
0.328864 0.0315577
0.423118 0.0260594
0.189655 0.0329867
0.4096 0.03295
0.341537 0.0252107
0.407209 0.0292178
0.318563 0.0492804
0.358905 0.0311483
0.358792 0.0306725
0.387694 0.0360638
0.242105 0.0436469
0.329719 0.0265704
0.824501 0.0353688
0.216951 0.0360063
0.347874 0.0358029
1.12996 0.0317436
0.173947 0.0444552
0.926145 0.0385054
0.137206 0.0436137
1.7073 0.030925
0.378072 0.0433296
0.207843 0.0349826
0.115425 0.0412782
0.149591 0.0324786
0.112449 0.0464994
0.45707 0.0337999
0.591847 0.039349
0.774875 0.0331105
0.176929 0.0335789
0.550555 0.0344401
0.47229 0.0405292
1.25669 0.032171
0.172948 0.0376257
0.252031 0.0323291
0.157275 0.0377442
0.0936837 0.0452117
