num_epochs $avg_err$
10 0.0295806
50 0.0370195
100 0.032653
10 0.0436723
50 0.0365014
100 0.0383393
10 0.0405474
50 0.0339628
100 0.0345458
10 0.0379483
50 0.0335013
100 0.0312888
10 0.0420098
50 0.0349465
100 0.0385744
10 0.0299294
50 0.0333277
100 0.0334499
10 0.0335041
50 0.0352683
100 0.0314704
10 0.0324626
50 0.0366863
100 0.0325289
10 0.0315577
50 0.0260594
100 0.0329867
10 0.03295
50 0.0252107
100 0.0292178
10 0.0492804
50 0.0311483
100 0.0306725
10 0.0360638
50 0.0436469
100 0.0265704
10 0.0353688
50 0.0360063
100 0.0358029
10 0.0317436
50 0.0444552
100 0.0385054
10 0.0436137
50 0.030925
100 0.0433296
10 0.0349826
50 0.0412782
100 0.0324786
10 0.0464994
50 0.0337999
100 0.039349
10 0.0331105
50 0.0335789
100 0.0344401
10 0.0405292
50 0.032171
100 0.0376257
10 0.0323291
50 0.0377442
100 0.0452117
													0.0452117
